id,locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15
sample_162,127,233,101,362,428,107,210,164,103,82,127,242,213,272,124
sample_163,121,236,113,362,426,104,210,159,100,86,123,239,213,264,122
sample_164,121,239,109,372,422,101,215,168,100,80,125,233,205,261,124
sample_165,123,239,113,362,424,107,210,159,106,86,123,236,209,262,124
sample_166,123,236,105,361,428,107,210,172,109,86,121,239,205,264,124
sample_167,125,245,105,368,422,101,215,168,100,80,125,239,213,262,124
sample_168,123,239,113,370,426,98,215,164,100,82,125,239,209,262,124
sample_169,125,239,109,368,428,101,215,168,103,80,125,236,209,261,124
sample_170,119,236,113,364,428,107,210,172,109,86,123,236,201,264,124
sample_171,125,239,105,362,424,110,210,159,112,86,125,239,205,270,124
sample_172,125,236,109,372,424,104,215,168,97,80,125,245,205,262,124
sample_173,123,233,105,362,424,104,210,159,100,80,121,239,201,264,124
sample_174,129,239,109,372,428,107,215,168,100,78,127,239,205,264,122
sample_175,125,239,113,368,426,98,215,159,103,82,125,233,209,264,124
sample_176,127,239,105,370,422,104,215,172,103,80,127,233,205,261,122
sample_177,119,239,105,368,428,110,210,176,109,84,121,236,205,266,124
sample_178,119,236,105,364,422,104,215,172,106,86,123,233,205,270,124
sample_179,129,239,109,370,428,104,210,172,103,78,127,239,209,264,124
sample_180,127,239,109,372,428,101,215,172,103,80,129,242,209,261,122
sample_181,127,242,101,364,428,107,210,164,109,82,125,245,213,268,124
sample_182,119,236,105,364,424,107,210,172,97,86,125,236,205,264,124
sample_183,119,239,105,370,426,104,210,172,112,86,121,236,213,264,124
sample_184,121,239,113,372,426,101,215,159,106,78,127,239,205,262,124
sample_185,123,242,105,362,422,104,210,172,109,84,119,236,205,266,124
sample_186,119,242,105,368,426,107,210,172,106,80,119,239,205,262,124
sample_187,121,239,113,370,424,101,215,164,103,78,125,239,205,261,122
sample_188,121,233,105,366,424,104,210,164,106,82,125,239,205,264,122
sample_189,125,233,101,364,428,107,210,172,106,86,127,239,213,264,124
sample_190,119,236,101,364,428,107,215,172,106,86,125,233,205,262,124
sample_191,119,242,105,370,424,101,210,159,100,82,121,239,205,270,124
sample_192,127,239,113,372,422,98,215,172,97,78,125,239,209,261,124
sample_193,129,239,105,372,422,101,215,164,100,82,127,239,209,261,124
sample_194,119,239,113,361,428,104,210,172,97,80,121,236,205,268,122
sample_195,127,239,113,370,424,104,215,176,100,78,129,239,209,264,124
sample_196,121,239,109,368,428,101,215,168,100,78,125,233,209,264,124
sample_197,127,245,101,372,426,104,210,164,97,82,127,242,213,270,122
sample_198,119,239,105,364,424,110,210,176,106,84,121,233,205,264,122
sample_199,129,236,105,370,428,98,215,164,106,78,123,239,209,264,124
sample_200,123,239,105,372,428,101,215,168,103,78,127,239,209,262,122
sample_201,125,242,109,370,426,101,215,168,106,80,125,239,209,264,124
sample_202,129,239,101,364,428,107,215,164,103,80,125,239,209,270,122
sample_203,125,239,113,372,428,104,215,164,106,82,127,239,205,261,124
sample_204,129,239,109,372,426,104,215,168,103,80,125,236,209,264,124
sample_205,127,239,105,370,428,101,215,168,106,78,125,233,209,261,124
sample_206,121,233,105,364,422,98,215,164,100,82,123,236,205,264,124
sample_207,125,236,109,372,426,98,215,172,100,78,125,239,213,261,124
sample_208,129,233,113,368,424,104,215,172,100,80,127,236,205,262,124
sample_209,119,239,113,361,428,101,210,172,106,86,125,239,209,264,124
sample_210,129,239,105,368,426,101,215,168,106,80,125,239,205,262,122
sample_211,121,233,105,362,426,104,215,164,106,84,123,236,209,264,124
sample_212,127,236,105,362,426,107,210,164,100,86,123,239,201,270,122
sample_213,119,236,105,364,422,107,210,168,106,82,125,233,205,262,124
sample_214,129,239,105,362,426,104,210,168,106,80,129,236,213,264,122
sample_215,119,239,109,361,426,98,210,159,106,86,123,239,213,264,124
sample_216,125,236,113,364,428,110,210,172,106,86,125,236,205,262,124
sample_217,129,239,113,372,426,98,215,168,106,78,125,239,209,264,124
sample_218,129,236,101,362,428,101,210,172,97,86,129,236,209,262,124
sample_219,125,239,109,370,426,98,215,164,97,80,125,242,205,262,124
sample_220,129,236,109,370,428,101,215,168,100,80,125,239,205,261,122
sample_221,127,239,109,370,422,104,215,172,97,78,125,233,209,261,124
sample_222,125,239,109,372,422,98,215,168,100,80,125,233,209,261,124
sample_223,119,236,109,362,424,107,215,172,106,86,125,239,205,264,124
sample_224,125,242,105,364,428,104,215,159,103,82,127,245,213,272,122
sample_225,127,239,109,372,422,101,215,168,106,78,123,239,209,264,124
sample_226,125,239,105,372,426,101,215,172,100,80,129,239,209,261,124
sample_227,123,239,105,370,426,107,210,168,106,86,119,236,201,270,124
sample_228,121,236,109,370,428,101,215,172,100,78,125,236,205,262,124
sample_229,125,245,109,370,426,101,215,164,97,78,129,239,205,262,124
sample_230,125,242,113,372,426,104,215,168,103,78,125,239,213,261,124
sample_231,121,233,113,361,424,110,210,159,109,86,125,236,201,262,124
sample_232,121,239,109,366,422,107,210,172,106,84,121,239,205,268,124
sample_233,129,239,101,362,422,107,210,176,106,86,121,236,205,264,124
sample_234,123,239,105,372,422,104,215,168,100,78,125,239,209,261,124
sample_235,119,239,113,364,428,107,210,172,100,86,125,236,209,264,124
sample_236,125,236,105,364,426,104,215,172,109,84,129,236,213,264,122
sample_237,129,239,109,372,422,107,215,168,106,78,125,239,209,264,124
sample_238,119,236,109,366,426,101,210,172,109,86,119,236,205,266,122
sample_239,129,239,105,370,428,101,215,168,100,82,127,239,205,261,124
sample_240,121,242,105,364,424,107,210,176,109,86,125,236,213,262,124
sample_241,123,239,105,370,426,104,215,164,100,80,125,239,205,261,124
sample_242,119,236,105,364,424,107,210,172,109,84,121,233,213,266,124
sample_243,125,242,101,362,428,110,215,159,109,82,127,242,209,266,122
sample_244,121,242,105,362,424,107,215,164,109,86,121,236,201,266,124
sample_245,127,239,105,372,422,98,215,164,103,82,125,239,213,264,122
sample_246,123,239,109,364,426,110,215,168,106,82,121,233,209,264,122
sample_247,119,239,109,366,422,104,210,164,100,86,123,236,205,264,122
sample_248,121,239,105,364,428,104,210,164,112,84,123,236,209,268,124
sample_249,127,239,109,372,426,101,215,168,103,82,127,239,205,261,124
sample_250,119,239,105,364,428,107,210,176,97,86,123,242,213,266,124
sample_251,123,239,113,372,426,101,215,172,100,78,127,236,205,262,124
sample_252,123,233,113,362,424,107,210,172,112,82,123,239,205,264,122
sample_253,119,233,113,364,426,107,210,164,106,84,119,242,209,268,124
sample_254,121,233,105,370,426,107,215,176,112,86,119,236,209,268,122
sample_255,125,239,105,370,428,104,215,168,100,78,125,239,205,261,124
sample_256,121,236,109,370,426,98,210,172,112,84,121,239,205,262,124
sample_257,125,239,109,372,422,101,215,168,97,78,125,239,209,262,124
sample_258,121,233,105,368,426,107,210,172,109,82,125,236,205,262,122
sample_259,121,242,105,372,422,104,215,168,97,82,127,239,209,261,124
sample_260,123,236,105,370,424,107,210,172,106,86,123,236,209,264,124
sample_261,119,233,109,370,428,101,210,172,106,84,123,233,213,264,124
sample_262,119,239,105,362,428,107,215,172,109,82,121,236,205,264,124
sample_263,127,239,101,368,428,98,210,172,103,84,125,236,205,264,124
sample_264,119,233,113,362,422,104,215,172,103,86,119,236,205,264,124
sample_265,121,236,109,372,428,104,215,164,97,78,129,242,209,261,122
sample_266,123,236,109,368,422,98,215,172,100,80,125,239,209,261,124
sample_267,127,245,109,364,426,107,210,164,106,80,125,245,213,264,122
sample_268,121,239,105,370,426,101,210,172,106,86,123,233,205,262,124
sample_269,125,233,105,361,426,107,215,172,106,86,123,242,205,262,122
sample_270,121,236,105,362,424,98,210,172,106,86,125,236,209,264,122
sample_271,119,239,105,362,426,104,210,164,103,86,123,242,205,266,122
sample_272,125,242,109,370,422,107,215,164,100,78,123,236,213,261,124
sample_273,119,236,105,361,422,110,210,164,106,80,123,236,205,264,124
sample_274,125,239,105,370,426,101,215,164,106,80,123,233,213,261,124
sample_275,121,236,105,366,422,101,210,168,100,82,121,239,205,266,124
sample_276,127,236,105,370,426,104,210,172,106,86,121,236,205,264,122
sample_277,123,239,113,372,422,101,215,164,103,80,127,239,213,262,124
sample_278,125,233,105,362,428,104,210,172,103,84,125,236,205,270,124
sample_279,125,239,109,372,428,101,215,164,106,78,125,239,209,261,122
sample_280,121,239,105,370,424,101,215,164,103,80,129,239,205,262,124
sample_281,129,239,113,372,424,104,215,164,100,78,125,239,213,264,122
sample_282,121,239,113,370,422,101,215,168,103,78,127,239,205,262,124
sample_283,127,239,105,370,428,101,215,172,103,80,125,239,213,262,124
sample_284,129,239,113,364,428,104,210,172,103,82,123,233,205,262,122
sample_285,125,233,105,368,426,101,215,168,100,78,123,233,209,261,124
sample_286,119,236,113,364,428,104,210,172,106,80,125,236,209,270,124
sample_287,127,242,113,362,426,98,210,159,106,84,123,236,205,264,122
sample_288,129,245,109,372,424,107,210,164,106,82,127,242,213,268,122
sample_289,119,239,109,366,422,104,215,172,97,86,121,233,205,264,124
sample_290,125,239,113,370,428,98,215,164,106,78,125,236,209,264,124
sample_291,129,239,105,362,428,101,210,164,97,82,127,233,213,268,122
sample_292,125,239,105,370,428,101,215,168,100,80,127,239,205,264,124
sample_293,119,239,109,368,424,110,210,159,109,84,125,236,205,262,124
sample_294,119,236,105,364,426,107,210,172,109,86,129,242,205,264,124
sample_295,123,239,113,362,426,104,210,172,112,80,125,239,205,262,124
sample_296,119,239,105,364,424,104,210,172,103,82,121,239,205,270,124
sample_297,119,242,105,364,428,107,210,164,109,82,123,239,205,264,124
sample_298,119,236,105,364,422,101,210,164,106,86,127,236,209,264,124
sample_299,119,242,105,364,428,107,215,172,112,86,125,236,213,264,122
sample_300,123,233,109,364,428,107,215,172,100,86,125,236,205,264,122
sample_301,119,233,105,362,422,98,210,159,103,86,123,236,209,262,122
sample_302,127,239,105,364,424,101,210,172,112,86,121,236,213,268,124
sample_303,127,242,105,364,428,104,210,164,109,82,125,236,209,262,124
sample_304,121,239,109,372,426,104,210,164,97,80,125,236,209,262,122
sample_305,119,242,105,366,426,107,210,172,103,80,121,233,205,264,124
sample_306,119,236,109,364,426,107,210,172,109,86,121,236,205,266,124
sample_307,125,239,109,372,426,98,215,164,100,78,123,239,209,262,124
sample_308,119,236,109,364,426,104,210,164,106,84,123,236,205,266,124
sample_309,125,239,105,372,428,101,215,168,100,78,127,239,205,262,122
sample_310,125,236,105,370,428,107,215,164,103,80,125,239,209,264,124
sample_311,123,242,109,370,422,98,210,172,106,86,119,236,201,262,124
sample_312,123,239,109,372,428,101,215,168,100,80,125,236,209,261,124
sample_313,125,239,105,372,426,101,215,168,103,78,127,239,209,261,122
sample_314,125,239,109,372,428,101,215,172,106,78,129,233,205,261,124
sample_315,119,236,105,364,422,101,215,164,112,86,121,239,205,264,124
sample_316,121,236,109,364,428,107,210,176,112,84,123,236,205,270,122
sample_317,121,242,105,368,426,104,210,168,109,86,123,239,205,264,124
sample_318,125,239,105,372,426,101,215,159,103,78,125,239,205,262,122
sample_319,127,245,101,364,426,107,210,164,109,84,125,233,209,272,124
sample_320,119,233,113,364,422,107,210,168,103,86,121,233,209,266,124
sample_321,127,239,109,364,428,104,210,168,109,82,129,236,213,272,124
sample_322,127,236,105,364,424,104,210,172,112,84,123,239,205,262,124
sample_323,119,239,109,364,422,104,215,172,106,82,119,233,205,270,124
sample_324,129,239,105,364,426,107,215,172,112,82,121,236,205,270,124
sample_325,121,236,109,364,426,101,210,172,106,86,121,233,209,268,124
sample_326,125,239,105,362,426,104,215,172,106,84,123,239,213,270,124
sample_327,119,236,109,361,424,107,210,172,112,80,125,236,213,264,122
sample_328,119,233,105,364,426,107,210,172,106,82,123,239,201,262,122
sample_329,125,239,113,370,426,101,215,172,106,78,127,239,209,261,122
sample_330,127,239,109,372,428,101,215,168,97,80,127,239,209,261,124
sample_331,129,239,109,370,426,101,215,159,106,78,123,239,205,264,124
sample_332,127,242,109,368,426,104,215,176,100,80,127,239,205,261,124
sample_333,119,239,105,368,422,104,210,168,97,86,123,236,209,270,124
sample_334,125,236,105,370,428,101,210,172,103,82,123,239,213,264,124
sample_335,121,242,105,372,424,101,215,168,106,78,125,233,209,261,124
sample_336,121,236,109,364,422,107,215,172,103,80,123,233,209,266,124
sample_337,123,239,105,362,426,110,210,159,103,80,125,233,205,262,124
sample_338,123,233,105,364,424,107,210,168,106,80,123,233,213,266,122
sample_339,129,239,105,372,426,104,215,168,97,78,127,239,213,261,124
sample_340,121,233,105,364,426,104,210,172,106,80,121,236,201,268,122
sample_341,125,239,105,372,424,101,215,164,97,82,125,239,205,261,124
sample_342,119,239,113,364,426,98,210,172,106,82,125,233,205,270,124
sample_343,125,233,101,372,426,104,210,164,109,82,125,245,213,272,122
sample_344,125,242,105,364,428,101,215,164,109,82,127,242,213,272,122
sample_345,125,239,105,372,426,101,215,168,97,82,127,242,209,262,124
sample_346,119,236,105,366,428,107,210,172,106,84,125,236,201,268,124
sample_347,129,239,109,368,428,101,215,168,100,78,125,236,209,262,124
sample_348,127,239,109,362,426,110,215,164,109,82,125,236,209,264,124
sample_349,125,245,101,366,428,104,210,164,106,82,125,242,209,272,122
sample_350,123,242,109,364,428,104,210,172,109,82,121,239,201,262,124
sample_351,129,236,113,372,428,104,215,164,106,82,125,233,205,262,124
sample_352,123,233,105,362,428,98,210,176,103,82,121,239,205,264,124
sample_353,125,236,113,372,428,107,215,168,100,80,129,242,205,262,124
sample_354,125,239,109,372,428,101,215,168,100,80,125,233,213,264,124
sample_355,129,245,105,364,428,101,210,164,106,82,129,242,209,262,122
sample_356,127,239,113,370,426,101,215,172,103,82,127,239,209,262,124
sample_357,129,239,109,372,426,101,215,168,97,80,129,239,213,262,124
sample_358,127,239,105,361,428,107,210,172,97,86,125,236,205,262,124
sample_359,125,239,113,370,422,101,215,168,106,80,125,239,205,262,122
sample_360,125,239,109,372,426,101,215,168,106,78,129,239,213,264,124
sample_361,119,239,105,366,428,104,210,168,106,86,125,233,205,264,122
sample_362,121,236,101,361,424,104,210,172,106,86,121,242,209,264,124
sample_363,129,239,109,372,422,104,215,172,106,78,123,239,205,261,124
sample_364,121,239,113,362,428,110,210,172,109,86,129,236,209,270,124
sample_365,125,239,105,372,426,104,215,168,97,80,129,239,205,262,124
sample_366,129,239,109,370,426,101,215,164,100,80,125,239,209,262,124
sample_367,127,242,113,372,426,107,215,168,100,78,125,239,205,261,124
sample_368,127,239,101,370,426,104,210,164,112,80,127,236,213,264,124
sample_369,119,239,101,368,424,98,210,176,106,84,127,233,213,264,124
sample_370,125,236,105,364,428,104,210,172,100,82,127,242,213,272,122
sample_371,125,242,101,364,426,104,210,168,106,82,129,245,209,266,122
sample_372,119,233,105,362,428,107,210,172,103,86,123,233,201,268,122
sample_373,129,239,113,370,428,101,215,168,100,78,125,239,209,264,124
sample_374,121,239,105,370,422,101,215,172,106,78,125,236,209,261,124
sample_375,125,245,105,372,428,101,215,168,97,80,127,239,209,261,122
sample_376,127,242,101,364,428,107,210,164,112,84,127,233,213,272,122
sample_377,119,233,105,366,426,104,210,164,103,86,123,239,209,264,124
sample_378,125,239,113,372,424,98,215,172,100,78,129,239,205,262,124
sample_379,119,239,105,366,428,104,210,164,112,82,123,236,205,264,124
sample_380,129,239,105,372,428,107,215,172,97,78,125,239,209,261,122
sample_381,121,239,109,372,428,98,215,168,106,82,127,239,209,262,124
sample_382,129,239,113,372,424,104,215,164,97,80,129,239,209,261,122
sample_383,123,239,109,370,428,101,215,164,100,78,123,245,213,262,124
sample_384,125,245,105,364,428,101,210,164,109,82,127,242,213,262,124
sample_385,129,239,105,372,426,104,215,172,100,82,127,239,205,264,124
sample_386,121,236,101,361,428,101,210,164,109,82,121,242,205,264,124
sample_387,123,236,109,372,424,101,215,164,97,80,125,239,205,261,122
sample_388,129,233,113,368,428,104,215,172,100,78,127,239,213,261,124
sample_389,129,236,113,368,426,98,215,172,97,78,127,239,205,262,122
sample_390,123,239,101,364,426,107,210,176,109,86,123,236,205,268,122
sample_391,119,236,105,361,428,101,210,172,106,84,125,233,205,266,124
sample_392,125,242,105,372,428,107,210,164,106,82,127,242,213,272,122
sample_393,127,239,105,372,428,98,215,168,100,78,127,239,209,264,124
sample_394,119,233,109,362,422,104,210,176,106,86,119,233,205,268,124
sample_395,121,245,105,372,422,101,210,164,100,82,129,239,209,261,124
