Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
129,30,8400,TwnhsE,5,5,1,0,4,1970,1650,3,GasA,Y,1496,0,2007,163328.91548917
130,66,6762,Duplex,6,5,1,0,5,2004,1050,2,GasA,Y,1960,0,2009,140837.730652478
131,79,9600,TwnhsE,5,5,1,0,8,2007,483,3,GasA,Y,1118,0,2009,150965.428026566
132,24,6240,1Fam,6,6,1,0,6,1951,816,3,GasA,Y,1520,0,2007,122378.056258404
133,,14963,TwnhsE,9,5,1,0,10,1956,2153,1,GasA,Y,907,0,2006,343778.909135405
134,57,1300,Duplex,5,5,1,0,5,1970,641,3,GasA,Y,999,0,2008,110938.658620404
135,,13284,1Fam,7,5,2,0,4,1958,689,2,GasA,Y,1120,0,2008,132649.239988348
136,56,13695,1Fam,8,5,1,0,6,2004,721,1,GasA,Y,1954,0,2007,261461.34498833
137,50,9084,1Fam,4,5,1,0,7,2009,1470,3,GasA,Y,848,0,2010,172652.002452672
138,110,10200,1Fam,7,5,1,0,6,2004,672,2,GasA,Y,1680,0,2006,185580.268325743
139,35,8658,1Fam,6,6,2,0,7,1920,672,4,GasA,Y,2020,0,2010,152986.586703222
140,108,8475,1Fam,6,7,2,1,5,1993,1602,2,GasA,Y,1044,0,2007,199403.419254718
141,100,9600,1Fam,7,5,2,0,8,1963,920,4,GasA,Y,1336,0,2008,175106.259966305
142,52,15611,1Fam,4,7,1,1,7,2003,928,3,GasA,Y,1680,0,2007,151894.851434154
143,61,8600,Twnhs,8,5,1,1,9,1990,1235,3,GasA,Y,1368,0,2009,221204.627923166
144,87,10140,Duplex,7,9,2,1,5,1957,824,4,GasA,Y,1661,0,2010,193718.092082481
145,95,11475,1Fam,5,6,2,0,6,2000,672,2,GasA,Y,2520,0,2006,201331.511978859
146,70,7861,1Fam,5,5,2,0,4,1928,780,3,GasA,Y,1428,0,2007,108263.187030636
147,50,10335,1Fam,8,5,1,0,6,2004,1028,3,GasA,Y,884,0,2007,224604.101771416
148,76,7018,1Fam,7,5,1,0,7,1880,948,3,GasA,Y,1978,0,2009,173130.73861241
149,,6240,1Fam,7,5,1,0,7,1939,1144,2,GasA,Y,1108,0,2008,176723.915882849
150,84,14154,Twnhs,7,5,2,0,10,1995,1470,0,GasA,Y,1714,0,2006,280029.857327023
151,75,4590,Duplex,6,5,2,0,8,2005,1060,3,GasA,Y,1872,0,2010,150437.288707735
152,80,7931,1Fam,4,5,1,1,8,1954,1436,4,GasA,Y,2287,0,2008,162766.459199609
153,79,1680,Duplex,7,5,1,1,6,2006,880,2,GasA,Y,1414,0,2006,171163.259413956
154,60,8800,1Fam,5,5,2,0,9,1965,1114,3,GasA,Y,1029,0,2006,146276.993596108
155,60,8755,1Fam,7,5,1,0,7,1980,780,3,GasA,Y,1309,0,2007,137248.971946655
156,100,10041,1Fam,6,5,2,0,7,1969,864,4,GasA,Y,1040,0,2008,130520.416451338
157,72,8480,1Fam,6,5,2,0,5,1953,1128,3,GasA,Y,1620,0,2008,168015.162032227
158,,8544,1Fam,6,5,2,0,7,2004,1051,3,GasA,Y,1100,0,2010,165012.873229136
159,75,11250,1Fam,4,7,1,0,6,1956,728,3,GasA,Y,2031,0,2008,167399.943392604
160,78,7920,1Fam,5,7,1,1,5,1934,1017,2,GasA,Y,1790,0,2009,181839.382357753
161,110,7800,TwnhsE,5,5,2,0,10,1998,864,2,GasA,Y,1470,0,2007,218866.857542418
162,,10800,1Fam,5,6,1,0,5,2004,1482,2,GasA,Y,1756,0,2008,217399.704049457
163,,13005,1Fam,7,5,2,0,5,1977,684,4,GasA,Y,2082,0,2010,225667.682733552
164,79,10400,1Fam,6,6,2,0,6,1971,747,2,GasA,Y,1301,0,2009,114592.00724536
165,,5062,1Fam,9,5,1,0,6,1969,702,3,GasA,Y,1337,0,2009,167610.103819861
166,75,9187,1Fam,5,5,2,0,6,1997,953,3,GasA,Y,1456,0,2009,178609.009654892
167,80,7032,1Fam,8,5,1,1,6,1982,1768,3,GasA,Y,1739,0,2009,288829.737128848
168,64,16033,1Fam,6,5,2,0,7,2004,1164,3,GasA,Y,1577,0,2007,170675.917369993
169,80,8320,1Fam,7,5,1,0,5,2009,0,1,GasA,Y,1296,0,2009,210071.444852168
170,60,10380,1Fam,6,5,2,1,6,1949,572,3,GasW,Y,1208,0,2007,123120.880066577
171,96,7200,1Fam,8,5,1,0,6,1959,795,3,GasA,Y,854,0,2006,135427.465458591
172,49,7000,1Fam,7,5,1,1,10,2007,991,3,GasA,Y,1839,0,2009,221410.976187227
173,86,12886,1Fam,7,5,1,0,7,2004,1040,2,GasA,Y,2078,0,2007,259641.86777632
174,58,7590,1Fam,5,5,1,0,5,2007,776,1,GasA,Y,1494,0,2008,144709.588849891
175,65,7136,TwnhsE,4,5,2,1,10,1912,980,2,GasA,Y,943,0,2007,106645.365620045
176,100,3604,1Fam,6,5,2,0,3,2003,1396,3,GasA,Y,1714,0,2006,176745.542845118
177,,13474,Duplex,6,5,2,0,9,1971,1431,3,Grav,Y,1626,0,2007,171521.096741611
178,,10150,1Fam,8,5,2,1,6,1916,1225,3,GasA,Y,1110,0,2009,208944.283280404
179,60,16059,Duplex,5,5,1,0,7,1900,847,3,GasA,Y,1691,0,2010,137371.076926031
180,83,10652,2fmCon,5,6,2,0,6,1916,1164,2,GasA,Y,1097,0,2007,114011.750327598
181,74,5232,1Fam,9,5,2,1,9,1940,1117,3,GasA,Y,902,0,2009,175446.953439756
182,70,7861,1Fam,5,5,1,0,12,2000,1800,3,GasA,Y,3222,0,2007,240673.883862663
183,50,8100,1Fam,6,7,1,1,10,1971,858,3,GasA,Y,1541,0,2009,176146.202681116
184,60,7200,Duplex,5,7,2,0,5,1977,1905,4,GasA,Y,2291,0,2007,162992.688552851
185,44,8475,TwnhsE,6,5,2,0,7,1920,1414,3,GasA,Y,2013,0,2010,178112.172259578
186,72,18386,1Fam,7,5,1,1,5,2000,1001,3,GasA,Y,1728,0,2010,219423.896281806
187,66,13478,1Fam,8,5,1,1,9,1892,1057,3,GasA,Y,1721,0,2009,162695.974736824
188,52,7800,1Fam,7,8,2,1,6,1972,728,5,GasA,N,1392,0,2008,161688.808549782
189,68,8125,1Fam,3,8,1,1,11,1949,832,3,GasA,N,1054,0,2007,106765.71964206
190,41,9101,1Fam,4,7,2,0,7,1958,1424,4,GasA,Y,2087,0,2009,194593.881649457
191,76,14559,1Fam,7,6,2,0,6,2003,1040,3,GasA,Y,1392,0,2010,144486.790630106
192,62,9675,1Fam,7,5,1,1,6,1954,1649,3,GasA,Y,1855,0,2009,237361.299511359
193,,10793,Twnhs,6,5,2,1,6,1954,1650,4,GasA,Y,2320,0,2006,204625.339742689
194,41,7175,TwnhsE,7,7,1,0,4,1940,732,2,GasA,Y,1728,0,2006,153658.424566306
195,60,4224,1Fam,8,6,1,0,4,1984,1541,3,GasA,Y,4316,0,2008,346189.01439822
196,,6993,TwnhsE,6,6,1,1,9,1999,780,1,GasA,Y,1950,0,2009,179767.377239177
197,,13159,Twnhs,6,7,2,0,6,2005,1030,3,GasA,Y,1056,0,2008,165803.328659233
198,75,11333,1Fam,4,6,3,1,6,1957,483,3,GasA,Y,1348,0,2007,146577.667919359
199,85,10000,1Fam,7,5,2,0,8,1920,1084,3,GasA,Y,1752,0,2010,189719.35652758
200,,16669,1Fam,9,7,1,0,11,1928,896,3,GasA,Y,1301,0,2008,258801.068214847
201,86,6768,TwnhsE,5,5,2,0,5,2002,1098,2,GasA,Y,2020,0,2009,203775.527955522
202,80,7200,1Fam,6,5,2,1,5,1988,1121,2,GasA,Y,1072,0,2008,125485.938522883
203,85,13284,1Fam,5,7,1,0,4,1971,894,3,GasA,Y,1489,0,2006,178906.175054
204,45,7750,1Fam,5,5,2,0,5,2005,384,2,GasA,Y,1224,0,2009,180796.624792206
205,60,6930,1Fam,5,4,2,0,6,2004,1266,3,GasA,N,2229,0,2009,162911.78213497
206,67,10846,TwnhsE,7,5,1,0,8,1957,1868,2,GasA,Y,1442,0,2006,177325.090929919
207,59,6960,1Fam,5,6,2,1,6,1963,861,2,GasA,N,1308,0,2009,98507.5807788273
208,55,17140,1Fam,6,6,1,0,6,1961,1029,2,GasA,Y,1252,0,2006,160717.093323589
209,53,8405,2fmCon,8,5,2,0,8,1953,813,3,GasA,Y,965,0,2006,174410.703961237
210,43,10593,1Fam,5,8,2,0,6,1953,1844,3,GasA,N,1510,0,2009,158839.760562257
211,70,21780,2fmCon,3,6,1,1,6,1997,864,3,GasA,Y,1086,0,2008,150949.152965877
212,,6600,1Fam,7,7,1,1,7,1971,955,4,GasA,Y,951,0,2010,141095.191914844
213,,2651,1Fam,5,4,1,0,7,1995,1563,3,GasA,Y,1796,0,2008,194819.031158105
214,79,10007,1Fam,7,7,2,0,10,1978,864,3,GasA,Y,2417,0,2009,267685.865274517
215,64,9100,TwnhsE,7,5,2,1,5,1952,715,3,GasA,Y,1839,0,2008,196795.604363114
216,,10570,1Fam,7,5,2,0,5,1925,1149,3,GasA,N,2730,0,2006,240204.083258165
217,47,9571,Twnhs,7,9,1,1,6,1977,1181,3,GasA,Y,825,0,2007,153527.798880111
218,,11409,1Fam,7,5,1,0,5,2003,1484,3,GasA,Y,1471,0,2007,200806.391905899
219,134,11787,1Fam,7,5,1,0,9,1990,1244,3,GasA,Y,1204,0,2010,206512.137878234
220,95,10005,1Fam,4,5,2,0,5,2005,1064,2,GasA,Y,1442,0,2007,160018.122750074
221,65,7851,1Fam,6,6,2,0,8,2002,1164,2,GasA,Y,1165,0,2007,184754.730211333
222,91,8400,1Fam,5,6,2,1,10,1916,1494,3,GasA,Y,952,0,2007,112019.006666933
223,70,8760,1Fam,6,5,1,1,4,2000,960,3,GasA,Y,1034,0,2006,151084.906137129
224,66,10800,1Fam,5,6,2,0,7,1958,816,1,GasA,Y,1094,0,2006,119082.520364204
225,,10656,1Fam,5,5,1,1,8,1970,1389,3,GasA,Y,1203,0,2008,132646.41195064
226,60,9196,1Fam,5,5,1,0,6,1996,728,3,GasA,Y,1111,0,2008,145669.387677466
227,79,14115,Twnhs,5,5,2,1,6,1920,530,3,GasA,Y,1960,0,2009,158316.627730331
228,75,7990,1Fam,7,6,2,1,5,1954,689,3,GasA,Y,1548,0,2006,198585.909129907
229,60,8121,1Fam,7,5,1,0,6,1916,804,1,GasA,Y,1973,0,2008,174431.786541144
230,72,9525,1Fam,6,5,2,0,5,2004,991,3,GasA,Y,1220,0,2008,194664.726013245
231,24,7758,1Fam,8,5,1,0,7,2000,483,3,GasA,Y,2270,0,2007,219152.942250565
232,70,11600,Duplex,6,5,2,0,6,1972,654,3,GasA,Y,2192,0,2008,176134.081480441
233,,8246,Twnhs,5,6,2,0,7,1882,1056,3,GasA,Y,1547,0,2009,153246.872446658
234,90,8123,1Fam,5,5,2,1,6,1940,860,2,GasA,Y,2138,0,2006,143584.30241617
235,91,10625,1Fam,8,5,2,0,5,1958,686,4,GasA,Y,1034,0,2007,166105.624826119
236,65,10140,1Fam,6,6,3,0,10,1959,720,3,GasA,Y,864,0,2007,93623.5184667555
237,75,11228,TwnhsE,5,5,2,0,7,2006,1040,3,GasA,Y,1376,0,2007,132057.890806631
238,137,1526,1Fam,7,6,1,1,6,1955,680,4,GasA,Y,1224,0,2009,125292.808953931
239,67,9236,1Fam,8,5,2,0,10,1954,768,3,GasA,Y,1855,0,2010,206207.666610228
240,91,8004,1Fam,6,5,2,1,6,1986,1572,2,GasA,N,1756,0,2007,211473.316775469
241,,8740,1Fam,8,5,2,1,10,2004,1086,2,GasA,Y,1707,0,2010,216969.93000949
242,50,7134,1Fam,8,5,2,1,6,1976,1431,3,GasA,Y,792,0,2007,203740.062664126
243,,8064,1Fam,6,6,2,0,6,2004,1368,6,GasA,Y,1200,0,2007,183065.062717064
244,90,10762,1Fam,6,5,1,0,7,1959,896,4,GasA,Y,1790,0,2010,92851.8816056344
245,70,9200,1Fam,7,7,2,0,8,1965,650,1,GasA,Y,1181,0,2007,126384.541458522
246,60,8012,1Fam,6,5,2,1,5,1997,1145,3,GasA,Y,912,0,2008,131502.783646653
247,60,12692,1Fam,6,8,2,1,6,1880,864,3,GasA,Y,1269,0,2006,143387.017164052
248,75,10800,TwnhsE,6,5,2,1,4,2000,1258,3,GasA,Y,2097,0,2008,198518.551937261
249,74,4251,1Fam,6,5,2,0,6,1925,504,4,GasA,Y,1116,0,2007,73291.8581112565
250,83,14450,1Fam,7,5,1,0,7,1980,1606,1,GasA,Y,1218,0,2009,204392.355818173
251,24,10000,TwnhsE,6,5,1,0,7,1923,983,1,GasA,Y,912,0,2006,72698.2177308171
252,86,4750,TwnhsE,5,5,2,0,7,1970,816,3,GasA,Y,1039,0,2008,75530.2307353282
253,92,9291,1Fam,7,5,2,1,8,1915,747,2,GasA,Y,1576,0,2007,137569.314218416
254,80,5500,1Fam,7,6,2,0,6,1923,864,3,GasA,Y,848,0,2006,151325.368987494
255,74,4928,1Fam,8,5,2,0,5,1996,1187,3,GasA,Y,1092,0,2008,147919.054424925
256,60,9450,1Fam,5,6,2,0,10,1970,1390,4,GasA,Y,1041,0,2006,140720.44445623
257,24,4435,1Fam,9,5,1,0,4,1953,644,4,GasA,Y,1344,0,2009,210429.26358311
258,67,1890,1Fam,4,7,2,0,7,1941,660,3,GasA,Y,1200,0,2009,76303.0245885262
259,66,8760,1Fam,6,7,2,1,9,1946,1187,3,GasA,Y,1336,0,2006,155830.759170798
260,150,14559,1Fam,6,5,1,0,6,1932,1032,2,GasA,Y,1258,0,2009,162359.925675039
261,55,9297,1Fam,7,3,1,1,7,1959,560,3,GasW,Y,970,0,2007,106044.190910424
262,60,11200,1Fam,7,8,2,0,5,1935,636,4,GasA,Y,1978,0,2010,222069.804745307
263,60,11851,1Fam,7,5,2,0,9,1999,1314,3,GasA,Y,943,0,2008,130931.984726523
264,50,9550,2fmCon,10,5,1,1,6,2008,993,4,GasA,Y,1217,0,2007,206044.554782258
265,74,8544,1Fam,7,6,2,0,6,1980,1314,6,GasA,Y,1512,0,2008,212367.630195662
266,,11553,Twnhs,5,7,2,0,8,2008,1698,3,GasA,Y,1743,0,2009,206532.564539423
267,71,8004,1Fam,4,5,2,0,3,1998,720,3,GasA,Y,1192,0,2007,122099.655545215
